分类,ID,问题,答案,
二、签到环节，患者有哪些疑问和需求,1,如何签到？怎么签到？在哪里签到嘛？在哪点签到？,"请按预约信息发送的签到地点去签到。
预约到门诊负一楼的检查（DR、CT1、CT8），请在预约时间内，在门诊负一楼自助签到机上，刷登记条码点击签到。预约到其他的检查室的，请到相应检查室签到处，由工作人员签到。",
,2,不知道什么时候开始签到？什么时间可以签到啊？,请在检查当天预约时间内签到即可。,
,3,需要提前去签到吗？需要提前多久签到？我可以提前多久签到？,请在检查当天预约时间内签到即可，无需提前签到。,
,4,我约了个核磁共振是明天的，能现在签到吗？我明天的今天可以签到不？,请在检查当天预约时间内签到即可。,
,5,可以在手机上提前签到不？手机上签不了到怎么办？手机上怎么签不起到呢？,请在检查预约时间段进行签到。,
,6,我不会在自助机上面签到，这个怎么用哦？,请将条形码对准签到机扫描口扫描，出现您检查信息显示后，选中您要检查的条目，再根据提示操作。或到人工窗口咨询办理。,
,7,可以在人工窗口签到不？,可以，请在工作时间到窗口办理,
,8,不是预约的这个时间吗，为什么做不到？签到时间就是做检查的时间吗？签了到直接就检查吗？签到后就能做检查吗？我不是预约好了吗？上面不是检查时间吗？,签到时间并非检查时间，取号后请耐心等候检查,
,9,预约时间过了可以做检查吗，还是需要重新排队预约？过了签到时间怎么办？,预约时间过了需要重新预约，重新排队，请按时来做检查。,
,10,为什么我签不起到，怎么不可以马上签到？,请按签到时间显示时段签到，最多可提前半小时进行签到,
,11,我怎么签不起到，扫码扫哪里？,将任何一张左上角有条形码的纸质单的条码对准扫描框进行扫码。,
,12,我需要等待多久时间？我具体还要等好久？,如已取号，请关注叫号屏检查进度。,
,13,是否需要空腹，是否需要准备水，检查之前要做哪些准备？吃了饭、喝了水可不可以做检查？我这个检查需要喝水吗？,请注意查看短信推送内容，如有疑问请到人工窗口咨询,
,14,带不带检查单？还要带单子来嗦？没带检查申请单可不可以签到做检查？,检查请携带检查申请单，如未带检查申请单可出示相关单据进行签到、检查。,
,15,交了单子就可以做检查了吗？,请耐心等待按序叫号。,
,16,签到过后去哪里做检查？,请按签到显示分配的检查室前往等候,
,17,签到过后要做撒子？,请提前去除您检查部位的金属、高密度异物，如女士有胸部检查请提前脱除内衣。,
,18,我检查的哪些位置？,检查项目以医生开具的电子检查申请单项目为准，请向医生咨询确认。,
,19,我这几项检查都在一个地方做检查吗？,同一个类别的检查项目一般都是在一个地方一次性完成检查。不同类别的项目请前往不同科室、检查室进行检查。,
,20,我有（**病、体内有**支架，心脏起搏器）可不可以做检查？,可以做CT检查。如有核磁共振检查请提前告知工作人员进行确认。,
,21,做了检查可不可以接触小孩，孕妇？,可以，DR、CT、核磁共振检查后都是可以接触小孩孕妇的，身体并无放射线存在。,
,22,签到之后我不想做了怎么退费？,请到人工窗口办理,
三、排队环节，患者有哪些疑问和需求,1,以什么顺序为准？,请关注叫号显示屏上的排队、叫号信息,
,2,哪里看号？在哪里可以看到我的号诶？,请关注叫号显示屏上的排队、叫号信息。,
,3,检查室在哪里？在哪个检查室门口等？到哪里排队？,请查看预约签到信息显示的对应检查室，按路标在相应检查室门口排队等候,
,4,排多久的队？等好久？排得到好久？为啥子要等嫩个久？,请关注叫号显示屏上的排队、叫号信息。,
,5,签到后还需要排队吗？签到之后要排好久的队？我需要排队多久才能做检查？,签到后会生成您的排队序号，排队时间长短取决于前方未检人员的多与少，请您耐心等候,
,6,急诊和门诊的等待时间是如何安排的？如果一直来急诊，门诊的患者需要等待几个才能做检查？,急诊患者由于病情紧急需要优先检查，普通患者不会被无限延迟，请耐心等待。,
,7,中途怎么一直有人插队？为什么有人插队啊？他怎么排到我前面去了？,插队号主要为急诊号，病情需优先检查，请理解！,
,8,急诊就可以一直插队吗？那我什么时候才做得到,急诊患者病情紧急需要优先检查，但普通患者不会被无限延迟哦！您的检查进度我们会通过叫号屏显示，您也可以随时问我或工作人员，帮您预估等待时间！,
,9,前面还有还多人？还有好久才到我？,您好！具体时间要看检查进度，您可以留意叫号屏。,
,10,一个人要做多久哦，我前面有两个人，我去一趟卫生间来得及噻,如果是CT或者DR，请再耐心等待一会。如果是磁共振检查，来得及。总之，记得让家属帮忙留意叫号屏或和工作人员说一声！,
,11,可以吃东西不，喝水不，憋尿不？,您好，当您收到预约相关信息后，会附有相应的准备工作告知书，请您仔细阅读，如有其他疑问或不清楚的地方可以到我科分诊台或登记窗口进行咨询,
,12,我过号了怎么办？,需要联系工作人员进行重新排号。,
,13,还有好久到我检查？还有好久到我打针？,您好！具体时间要看检查进度，您可以留意叫号屏。增强检查的注射安排在检查开始前不久，请耐心等待。,
,14,为撒子我的名字没在显示屏上面？,显示屏显示空间有限，如果您已经取到排队号，请耐心等待，留意显示屏。,
,15,转诊是撒子意思？,您好，转诊是指由另一个检查室安排到本检查室的患者转移，此举只为合理安排患者，优选检查室。也许您会担心是否有插队行为。请放心，每一次转诊我们都是按照患者开单缴费时的时间合理安排。,
,16,我也是急诊，为撒子先给其他急诊做检查？,您的心情我们理解！急诊会按病情危重程度优先抢救最紧急的患者（比如胸痛、大出血、昏迷等）。如果您感觉情况加重，请立刻到分诊台重新评估,
,17,我等了这么久，为撒子别个（急诊）一来就做检查？,让您久等确实辛苦啦！急诊患者病情突发紧急，如外伤、脑出血等，必须立刻检查才能救命。不过您别担心，普通检查我们也会按顺序尽快安排的！您可以留意叫号屏进度,
,18,我家很远/外地的，能不能给我插个队提前检查？,特别理解您路途辛苦！但检查必须按病情轻重和报到顺序安排，确保公平。如果您赶时间，我们可以优先帮您约当天最近的空档检查，和分诊台说明情况，若有紧急需求医生会评估调整！  ,
,19,我排到明天/后天的，但我只有今天有时间，我可不可以等你们今天最后一个给我检查了？,理解您时间紧张！检查需按预约安排，临时插队可能影响其他患者哦~ 不过您可以到分诊台说明情况，若有紧急医疗需求会优先评估，我们尽量帮您协调。,
,20,我（或我家属）是退役军人/老年人等，能不能优先给我们检查？,您好，我们可以根据情况适当为您优先检查，但是也需要稍微进行等待。请您到分诊台将您的证件出示给我们的工作人员进行登记，我们将评估后为您协调安排。,
,21,我（或我家属）现在很不舒服/很痛/来回不方便，能不能优先给我们检查？,您好，我们可以根据情况适当为您优先检查，但是也需要稍微进行等待，我们将评估您的病情后为您协调安排。,
,22,我还要等多久检查啊？,您好，请您查看您的检查室及排队号，我们会按照顺序依次检查，每位患者检查部位不同，配合程度不同，时间也会不同，请您耐心等待。,
,23,一个人要检查多久呢？,每位患者检查部位不同，检查方式不同，配合程度不同，时间也会不同，我们会按照顺序尽快为您安排检查，请您耐心等待,
,24,我没听到名字过号了怎么办呀？,您好，如果您过号了请联系我们的分诊台工作人员，我们会根据情况安排您叫号检查,
,25,为什么一个人要检查这么久都不出来？,您好，每位患者检查部位不同，检查方式不同，配合程度不同，时间也会不同，可能前面一位患者检查部位较多或配合稍微差一点，时间相对就会长一些，请您耐心等待。,
,26,我是多少号，前面还有多少人？,您好，您可以看检查室候诊大屏幕，上面有显示排队号，您可以查看您是多少号，现在检查的是多少号，前面排队多少都是可以看到的,
,27,检查能不能提前一点，怎么改时间？,您好，预约的检查时间是根据医生开单时的顺序，电脑自动预约，前面的时间都是患者已经预约好了的，改时间可以手机微信操作，也可以到我们的登记窗口找我们的工作人员更改。,
,28,都排好了，还排什么队？,您好，您之前是预约的这个时间段检查，我们会在您签到后形成检查排队号，按照排队号的顺序依次检查。,
四、关于检查前准备，患者有哪些疑问和需求,1,需要做些什么准备？,您好，当您收到预约相关信息后，会附有相应的准备工作告知书，请您仔细阅读，如有其他疑问或不清楚的地方可以到我科分诊台或登记窗口进行咨询。,
,2,能不能吃饭？需不需要空腹？,您好，请您收到预约相关信息后，仔细阅读准备工作告知书，如有其他疑问或不清楚的地方可以到我科分诊台或登记窗口进行咨询。,
,3,能不能喝水？喝什么水？好久喝水？喝好多？,您好，当您收到预约相关信息后，会附有相应的准备工作告知书，请您仔细阅读，如有其他疑问或不清楚的地方可以到我科分诊台或登记窗口进行咨询。,
,4,带水的目的？,您好，带水是为了检查前进行饮水，第一是为了减轻对比剂的过敏反应，第二是饮水充盈胃肠道，以便提供更好的检查效果。,
,5,你么这里有没有水？有没有杯子？,门诊负一楼：我们这里没有提供水和杯子，需要您自带。其他做增强检查的区域：有提供饮水机，没有杯子，需自带水杯。,
,6,为撒子别个都在喝水我不喝水？,每个人的疾病不一样，检查项目不一样，检查前准备就会有区别。检查胃肠道的需要适当饮水，检查泌尿系统的需要喝水憋尿。如果是做增强CT的患者，除了疾病要求禁饮禁食的和胆囊占位的，其他的检查前后都需要饮水，目的是充盈胃肠道，稀释血液中的对比剂，促进对比剂的排泄，预防过敏。,
,7,喊我们喝水是要憋尿吗？可不可以去上厕所？,只有检查泌尿系统的需要憋尿，其余检查可以不用憋尿。,
,8,需要换衣服裤子不？换下来的衣服放在哪里？,"检查前有工作人员指导您做检查前准备，会告知需不需要换衣服，换什么衣服。
换下来的衣服可以存在更衣室旁边的储物柜内。
CT检查：检查部位不能有金属物品，比如女性患者检查胸部，就需要提前脱内衣，取项链。如果上衣有拉链铁扣子，需要更换成我们准备的病员服。",
,9,CT有没得辐射？,CT是有辐射的。,
,10,磁共振有辐射吗？,磁共振没有辐射。,
,11,我做胸部CT，需要取掉皮带、眼镜和手表吗？,检查部位不能有金属物品即可，比如女性患者检查胸部CT，就需要提前脱内衣，取项链。如果上衣有拉链铁扣子，需要更换成我们准备的病员服。不需要取皮带、眼镜、手表等物品。,
,12,我身上的金属物品要取吗？,"CT检查：检查部位不能有金属物品即可，比如女性患者检查胸部CT，就需要提前脱内衣，取项链。如果上衣有拉链铁扣子，需要更换成我们准备的病员服。不需要取皮带、眼镜、手表等物品。
MRI检查：身上所有金属物品都需要取出之后，才能进去检查室。",
,13,假牙取不取？手链/项链/耳环等取不下来怎么办？,"如果是做CT检查，只需要取检查部位的金属物品即可，检查部位以外的金属物品取不下来也不影响检查；如果是做MRI检查，所有金属物品都需要取下。
但是做头颈、颌面部的CT和MRI检查时，需要取假牙、耳环、项链，取不下来的话会产生金属伪影，影响图像质量。金属物品对MRI的图像影响会比较大。假牙取不掉可以不用取，扫描看一下对检查部位的影响大不大，如果影响不大，就可以继续扫描完成检查，如果影响大可以退费处理。
但是耳环项链必须取下来，自己取不下来的话，可以去外面首饰店取。手链取不下来的话，只要不影响检查部位，可以用布或者纸把手链包起来，与皮肤隔开，避免发热灼伤。",
,14,自己的随身物品放哪里？,可以存储物柜内，也可以随身携带，检查室有放随身物品的区域。,
,15,金银首饰、手机这些可以带进检查室吗？,需要从身上取下来，可以带进检查室，放在指定的置物区域即可。,
,16,我有胃镜/超声/查血，是不是要先做了再来做这个检查？,我科只有增强CT需要大量饮水，胃镜/超声/抽血需要空腹的，可以先做了这几项检查再来做增强CT。我科其他不需要饮水的检查（DR、CT平扫、MRI），检查先后顺序就没有要求了。,
,17,我做了这个增强CT对抽血有影响没？,最好是先抽血再做增强CT。,
,18,我其他检查要到了，我可不可以先去做其他检查？,最好不要离开，一项一项依次完成检查。,
,19,我有个检查要空腹，你们要喊我喝水，我先做哪个检查？,先做空腹的检查。,
,20,等好久，一个人照好久时间？,"您签到后会生成一个排队号，相应的检查室门口有叫号屏，上面会显示已签到的患者排队号和名字，根据签到先后顺序进行检查，请耐心等待。
DR检查一个人几分钟，但是检查部位越多累计时间越长。Ct平扫检查一个人3-4分钟，CT增强检查一个人10分钟左右。MRI检查时间比较久，最快的一个人也要10分钟左右，部位越多时间越长。",
,21,我需不需要打针？,只有增强检查才需要打针，打的耐高压的留置针，需要静脉注射对比剂。,
,22,为撒子要打针？打的什么针？,增强检查需要打针，打的耐高压的留置针。需要静脉注射对比剂，血管显影后和周围组织形成对比，更好辨别病变部位。,
,23,撒子别个打了针没给我打针？,每个人检查项目不一样。只有增强检查需要打针，平扫的检查不需要打针。,
,24,是不是要打麻药？,放射科检查常规不需要打麻药，增强检查打针是静脉注射对比剂，血管显影后和周围组织形成对比，更好辨别病变部位。,
,25,打的什么药？,增强检查打针是静脉注射对比剂，CT增强检查是注射碘对比剂，MRI增强检查是注射钆对比剂。注射对比剂后血管显影，和周围组织形成对比，更好辨别病变部位。,
,26,为什么管子里的药（预冲）不走？,在等候检查时，留置针连接的管子是预充液，不是检查用的对比剂。预充液起到冲管和维持留置针充畅的作用，固定好后不会自动推进去。,
,27,做这个检查有没得风险？,做DR和CT检查会有少许辐射，做MRI检查没有辐射。行增强CT和增强MRI会注射对比剂，有过敏风险，但是过敏机率比较低，大概在万分之几。并且发生过敏后，我科工作人员会及时处理。,
,28,一个人可不可以做检查？,行动方便的，做平扫的检查，可以一个人来做检查。行动不便的，最好有家属陪同，避免跌倒。需要做增强检查的，最好有家属陪同，避免注射对比剂发生过敏反应联系不上家属。如果实在没有家属陪同，可以写下家属电话，如果发生对比剂过敏反应，我科医务人员可以及时联系家属。,
,29,我这个检查做得到好久？,每个检查项目的检查时间有不同。CT平扫检查一个人3分钟左右，增强CT一个人10分钟左右。DR检查，一个部位3分钟左右，部位越多累计时间越长。MR检查，头、椎体平扫等一个部位10分钟左右，关节平扫部位一个关节15分钟左右，血管平扫检查一个部位15分钟左右，腹部平扫检查一个部位10分钟左右；如果是增强检查，在平扫基础上时间加5分钟。乳腺MRI增强25分钟，上腹部增强（钆赛酸二钠）30分钟，胎儿MRI检查单胎30分钟左右、双胎60分钟左右，心脏MRI增强40分钟，,
,30,为撒子比我后来交单子的都进去做检查了还没喊我进去？,医生开医嘱以后，系统会为您自动预约最早的时间段签到排队检查，如果预约的同一时段，系统会优先安排预约在您前面的患者行检查。,
,31,我需不需要吸气闭气？,CT检查：只要检查部位有胸、腹部是有吸气闭气的口令，但因为特殊原因闭气困难，也不会影响做检查和出报告；MR检查：只要检查部位有胸、腹部是有吸气、呼气，请憋住气15~20秒的口令（憋气的过程中腹部不能动保持静止状态），请您按指令完成，否则会影响图像质量和报告的精确性。,
,32,我在哪个检查室做检查？,医生开医嘱以后，系统会为您自动预约最早且适合机型的检查室，门诊患者缴费预约成功后会有短信提醒（若没收到短信可到人工登记窗口咨询）、住院患者由临床护士打印指引单，门诊/住院患者按预约时间到指定的地点签到并排队等候检查。,
,33,打了这个药有没得辐射？,没有辐射，CT增强检查打的碘造影剂、MR增强检查打的钆造影剂，均不是放射性药物。,
,34,打了这个药可不可以接触孕妇和小娃儿？,可以接触，CT增强检查打的碘造影剂、MR增强检查打的钆造影剂，均不是放射性药物，且CT只在检查过程中才会有辐射，检查结束以后也没有放射性辐射，MR是全程都没有辐射的，胎儿也可行的检查。,
,35,手机可不可以带进去？,CT检查室内可以带金属物品、电子产品等进入，检查时只要检查部位没有金属异物即可；MR检查室受磁场影响，请将金属、电子产品等放在指定区域即可。,
,36,上次检查都没喊我喝水/憋尿/打针/用开塞露等等，为撒子这次要做？,根据检查部位的要求，为保证您的图像质量和报告的精准性，请按检查室规范的要求做准备，谢谢您的配合!,
,37,自己上了厕所为什么还需要开塞露？,药物的作用能将肠道内容物清理得更干净，也是为了保证您的图像质量和报告的精准性，请按检查室规范的要求做准备，谢谢您的配合!,
五、关于取报告补片，患者有哪些疑问和需求,1,好久取报告，第二天几点钟来去，上午好久取，下午好久取？,科室规定急诊CT/MR在2小时内出报告，普通CT/MR在24小时内出报告、CTU\CTA\CTV\MRA\MRV血管成像等特殊的检查可能会延迟到36-48小时内出报告，您可以关注“重医一院”公众号可查看报告是否出来。报告出来后，医院也会给您推送短信，请您关注短信。 ,
,2,过几天来取报告，可以吗？,当然可以，您可以复诊的时候再来取报告。,
,3,在哪里打印报告？,打印地点：5号楼B栋一楼或2号楼门诊负一楼放射科自助打印机。,
,4,怎么打印报告？,请用取报告凭证去自助打印机上扫描条形码即可，注意请不要扫到二维码了（二维码是用来关注公众号）。,
,5,一定要24个小时后才看得到报告吗？,不一定，也有可能会提前出来，您可以在“重医一院”公众号上查看报告是否出来。报告出来后，医院也会给您推送短信，请您关注短信。,
,6,为撒子24小时了我还没出报告？,普通CT/MR在24小时内出报告，CTU\CTA\CTV\MRA\MRV血管成像等特殊的检查可能会延迟到36-48小时内出报告，您可以关注“重医一院”公众号可查看报告是否出来。报告出来后，医院也会给您推送短信，请您关注短信。若到了规定的时间未及时出请您联系放射科人工登记咨询窗口查看是原因，他们将通知诊断组医生尽快为您出报告。,
,7,,,
,8,我对报告有疑问，我该找谁？,请您联系放射科人工登记咨询窗口，请他们为您联系诊断医生为您解疑答惑。,
,9,纸质报告被我弄丢了，我该去哪里补打？,请在窗口工作时间去5号楼B栋一楼放射科3号取报告窗口，或者2号楼门诊负一楼放射科人工登记窗口补打即可。,
,10,手机上在哪里看结果？,请您扫取报告凭证上的二维码或微信输入“重医一院”小程序，点击“数字影像”，选择就诊人，点击“同意授权”就可以查看电子报告和影像了。,
,11,可不可以给我办加急取报告？,如您病情紧急、来自外省等特殊情况，可以尝试联系放射科人工登记咨询窗口，请诊断组医生酌情考虑提前出报告，具体多久出，还是请您关注“重医一院”公众号上查看报告。报告出来后，医院也会给您推送短信，请您关注短信。,
,12,,,
,13,报告可不可以邮寄？,很抱歉放射科暂时没有这项服务！,
,14,在网上可不可以看报告？,可以，报告出来后医院会给您推送短信，可在“重医一院”公众号上可以查看电子报告和影像。,
,15,怎么在网上看报告和胶片？,请您扫取报告凭证上的二维码或微信输入“重医一院”小程序，点击“数字影像”，选择就诊人，点击“同意授权”就可以查看电子报告和影像了。,
,16,医生电脑上看不看得到报告和胶片？,当然可以,
,17,我在分院能不能取报告？,当然可以，本部和各分院属于一体化管理。,
,18,为撒子我在网上看不到我的报告和胶片？,很抱歉！请您联系人工登记咨询窗口查看具体原因，并及时为您解决问题。,
,19,我怎么知道我报告出来没得？,您可以在“重医一院”公众号上查看报告是否出来。报告出来后，医院也会给您推送短信，请您关注短信。,
,20,取了报告拿给哪个看？,请您到开单科室的诊室去复诊，或2号楼一楼大厅服务台咨询。,
,21,取了报告需不需要重新挂号？,从您看诊的时间算，3天内不需要重新挂号，或去开单科室的诊室前台咨询。,
,22,不含胶片是什么意思？,现在报告都只有纸质版，没有实体胶片（没有收胶片费用）。,
,23,为啥子没得胶片诶？,主要是因为电子影像技术的普及和信息化建设的推进。电子影像系统（PACS）能够高效存储、传输和调阅影像数据，不仅可以减少您的费用、减少环境污染，同时提高了影像质量、诊断效率和准确性，还便于远程会诊和患者携带保存。此外，电子影像技术减少了患者的等待时间，检查结束后即可上传图像到门诊诊室，提升了就医体验，因此逐渐取代了传统的胶片打印方式。,
,24,为什么现在CT和磁共振不用打胶片了？,主要是因为电子影像技术的普及和信息化建设的推进。电子影像系统（PACS）能够高效存储、传输和调阅影像数据，不仅可以减少您的费用、减少了环境污染，同时提高了影像质量、诊断效率和准确性，还便于远程会诊和患者携带保存。此外，电子影像技术减少了患者的等待时间，检查结束后即可上传图像到门诊诊室，提升了就医体验，因此逐渐取代了传统的胶片打印方式。,
,25,我取了报告，还想要胶片怎么办？,需要补交15元，经工作人员处理后您用原取报告条码在打印机上重新打印胶片,
,26,为什么要交钱才能补胶片？医生不是检查都应该有报告和胶片吗？,15元，国家医保局印发放射检查类价格项目立项指南（试行）统一将实体胶片从项目价格构成中剥离，由患者按需选购，实体胶片实行零差价销售，不捆绑收费。,
,27,胶片需要单独缴费多少？,15元,
,28,为什么还要交15元打胶片呢？,因为现在没有收胶片费用,
,29,在哪里交钱打印胶片？,门诊患者可以扫描报告单上二维码进行缴费，住院患者请医生及时下打胶片医嘱。,
,30,扫码缴胶片的钱怎么扫不起？,要根据具体原因分析，实在不行，您也可以去放射科登记窗口办理,
,31,我已经在网上交了胶片费，为撒子还是打不出胶片？交了补胶片费怎么还取不出来胶片？,请您及时联系放射科工作人员及时处理。,
,32,胶片是在哪里领取？,请您用原取报告条码在打印机上重新打印。,
,33,要等好久拿胶片？,一般缴费后经工作人员处理需要半个小时左右,
,34,胶片袋子在哪里拿？,5号楼B栋1楼放射科3号发报告窗口或者门诊负一楼放射科报告咨询窗口,
,35,我需要胶片怎么打？,门诊患者可以扫描报告单上二维码进行缴费，住院患者请医生及时下打胶片医嘱，工作人员处理后才能打印,
,37,交多少钱，为什么和以前胶片数量不一致？,15元。请您及时联系放射科工作人员查找具体原因后答复您。,
,38,如果夜间或者下班时间，有人负责帮忙处理胶片吗？,有，请联系放射科任何一个检查室工作人员，他们会及时为您处理。,
,39,胶片可以保存多久？,一般影像保存一个月左右,
,40,怎么拷贝原始影像？,"拷贝地点在7号楼205室:89012710，请携带病人及家属居民身份证原件及复印件、携带纸质检查报告复印件，并自行准备新U盘(不能带光盘,系统不支持光盘刻盘)",
,41,电子胶片查询流程？,请您扫码“重医一院”小程序，点击“数字影像”，选择就诊人，点击“同意授权”就可以查看电子报告和影像了,
,42,部队医院能否查看报告和胶片？,目前部分部队医院参与了影像检查互认，能否查看请具体咨询哈您要急诊的医院,
,43,我没得胶片的话，去其他医院，医生怎么看得到我的片子啊？,在重庆本地，除了军区医院无法跨越调阅，其他公立医院均可在门诊系统进行跨院调阅，如您有需要去军区医院就诊，建议您携带影像资料前去就诊。,
,44,你说全重庆市的电子影像都是可以通看，在哪里看哦？,其他医院的医生可通过门诊系统进行跨院调阅查看。,
六、关于费用问题，患者有哪些疑问和需求,1,我这个检查好多钱？检查费用好多？,可以通过交费的发票清单或者本次检查申请单右下角的费用查询到本次检查费用是多少。,
,2,做CT好多钱啊？,这个是按照检查部位和检查项目收费的，需要您提供具体的检查项目才能计算具体费用,
,3,照片好多钱啊？,这个是按照检查部位和检查项目收费的，需要您提供具体的检查项目才能计算具体费用,
,4,这个费用是按啥子收的？,根据重庆市物价标准执行，具体检查费用根据所做检查项目而定，检查项目越多，费用越贵,
,5,你们费用是怎么收的，这么贵？,检查费用根据您的检查项目而定，检查项目越多费用越贵，您的缴费清单可以进行查看,
,6,有几个检查项目？,查看医生开据的检查申请单，上面显示了具体的检查部位和项目,
,7,医保报销比例是好多？,不同医保类型的报销比例不一样，具体报销比例请前往医保科进行咨询,
,8,检查费可以报销吗？,检查费能否报销和您的医保类型有关，可前往医保科进行咨询,
,9,报账的流程？,请前往一号楼一楼医保科进行咨询,
,10,这个药可不可以报销？,请前往一号楼一楼医保科进行咨询,
,11,外地的可以报销好多诶？,请前往一号楼一楼医保科进行咨询,
,12,特病怎么没有报销？,请前往一号楼一楼医保科进行咨询,
